movie,movieName,commentCount
http://academy.ontotext.com/imdb/title/TheBourneUltimatum,The Bourne Ultimatum,329
http://academy.ontotext.com/imdb/title/TheLordoftheRingsTheReturnoftheKing,The Lord of the Rings: The Return of the King,328
http://academy.ontotext.com/imdb/title/ParaNorman,ParaNorman,328
http://academy.ontotext.com/imdb/title/NeverLetMeGo,Never Let Me Go,328
http://academy.ontotext.com/imdb/title/Anomalisa,Anomalisa,328
http://academy.ontotext.com/imdb/title/RealSteel,Real Steel,327
http://academy.ontotext.com/imdb/title/NeedforSpeed,Need for Speed,327
http://academy.ontotext.com/imdb/title/5050,50/50,327
http://academy.ontotext.com/imdb/title/FruitvaleStation,Fruitvale Station,327
http://academy.ontotext.com/imdb/title/EndersGame,Ender's Game,326
http://academy.ontotext.com/imdb/title/TheFaultinOurStars,The Fault in Our Stars,326
http://academy.ontotext.com/imdb/title/TheBookofEli,The Book of Eli,325
http://academy.ontotext.com/imdb/title/YoungAdult,Young Adult,325
http://academy.ontotext.com/imdb/title/BigEyes,Big Eyes,325
http://academy.ontotext.com/imdb/title/Tangled,Tangled,324
http://academy.ontotext.com/imdb/title/AnnaKarenina,Anna Karenina,324
http://academy.ontotext.com/imdb/title/Milk,Milk,324
http://academy.ontotext.com/imdb/title/MagicMike,Magic Mike,324
http://academy.ontotext.com/imdb/title/TuckerandDalevsEvil,Tucker and Dale vs Evil,324
http://academy.ontotext.com/imdb/title/IAmLegend,I Am Legend,323
http://academy.ontotext.com/imdb/title/TheHappening,The Happening,323
